Date, Open, High, Low, Close, Volume
05/07/25, 50.00, 50.00, 49.10, 49.10, 47400
05/06/25, 48.50, 50.00, 48.50, 49.05, 96100
05/05/25, 48.70, 49.50, 48.00, 49.05, 45200
05/02/25, 53.50, 53.50, 48.80, 49.45, 8200
04/30/25, 54.25, 54.75, 52.75, 54.00, 293900
04/29/25, 54.75, 54.75, 53.00, 54.00, 70500
04/28/25, 54.50, 55.00, 54.00, 54.75, 8600
04/25/25, 54.00, 54.50, 52.75, 54.00, 14100
04/24/25, 54.50, 54.50, 54.00, 54.25, 3100
04/23/25, 54.50, 54.50, 52.25, 53.75, 24500
04/22/25, 55.00, 55.00, 53.00, 53.75, 8900
04/17/25, 53.00, 54.00, 53.00, 54.00, 32600
04/16/25, 53.00, 53.00, 52.00, 52.50, 15200
04/15/25, 54.50, 55.00, 53.00, 54.25, 20000
04/14/25, 54.50, 54.50, 51.50, 53.50, 3100
04/11/25, 53.25, 54.50, 53.25, 53.75, 5100
04/10/25, 53.25, 54.00, 53.00, 53.25, 27200
04/09/25, 52.00, 53.50, 51.25, 51.50, 79100
04/08/25, 54.00, 54.00, 51.75, 52.00, 52600
04/07/25, 54.75, 54.75, 53.50, 54.00, 10200
04/04/25, 54.50, 54.50, 54.00, 54.00, 329700
04/03/25, 53.00, 54.50, 53.00, 54.00, 434600
04/02/25, 53.75, 54.00, 52.50, 53.50, 39200
04/01/25, 52.75, 52.75, 51.75, 52.50, 40400
03/28/25, 52.50, 52.50, 51.75, 52.50, 163800
03/27/25, 52.75, 52.75, 52.00, 52.50, 568400
03/26/25, 52.50, 53.50, 51.75, 52.75, 259000
03/25/25, 54.75, 54.75, 52.50, 52.75, 8000
03/24/25, 54.50, 54.75, 52.75, 53.75, 21400
03/21/25, 52.00, 54.25, 52.00, 52.25, 43700
03/20/25, 52.00, 52.50, 51.00, 51.75, 168800
03/19/25, 51.25, 52.00, 51.25, 51.50, 89800
03/18/25, 52.25, 53.00, 51.00, 52.00, 48300
03/17/25, 52.00, 55.50, 51.00, 52.25, 13900
03/14/25, 52.00, 52.00, 50.50, 51.75, 4800
03/13/25, 52.00, 52.00, 50.00, 50.25, 190700
03/12/25, 50.00, 52.00, 50.00, 50.25, 99000
03/11/25, 51.50, 55.75, 50.00, 50.75, 43800
03/10/25, 56.00, 56.25, 50.00, 51.25, 18700
03/07/25, 52.00, 52.50, 51.00, 51.75, 19400
03/06/25, 52.00, 56.50, 52.00, 54.00, 52500
03/05/25, 51.75, 52.00, 51.50, 51.75, 22700
03/04/25, 52.00, 52.00, 51.00, 51.75, 34200
03/03/25, 50.50, 52.00, 50.00, 50.75, 39400
02/28/25, 50.00, 52.00, 49.90, 50.25, 75700
02/27/25, 49.90, 52.00, 49.70, 50.00, 304400
02/26/25, 49.95, 50.00, 49.05, 49.75, 7800
02/25/25, 48.50, 49.95, 48.50, 49.05, 63400
02/24/25, 48.50, 49.00, 48.00, 48.95, 17700
02/21/25, 49.00, 49.95, 49.00, 49.25, 17200
02/20/25, 49.00, 50.00, 48.95, 49.10, 73700
02/19/25, 49.20, 50.00, 48.90, 48.90, 249100
02/18/25, 50.00, 50.00, 49.00, 49.05, 124600
02/17/25, 50.00, 50.00, 49.50, 49.90, 19000
02/14/25, 50.00, 50.00, 49.50, 49.80, 102000
02/13/25, 49.80, 50.00, 49.15, 49.80, 136800
02/12/25, 49.10, 50.00, 49.10, 49.80, 21000
02/11/25, 48.10, 51.00, 48.00, 49.75, 59100
02/10/25, 48.15, 48.15, 47.90, 48.10, 31600
02/07/25, 48.00, 49.00, 48.00, 48.20, 7100
02/06/25, 47.85, 48.30, 47.85, 47.90, 10800
02/05/25, 48.45, 49.90, 47.85, 47.95, 109600
02/04/25, 48.35, 49.50, 48.00, 48.50, 93000
02/03/25, 48.55, 48.55, 48.05, 48.35, 10200
01/31/25, 49.00, 49.00, 48.00, 48.50, 47000
01/30/25, 49.00, 49.00, 48.00, 48.60, 4900
01/29/25, 49.00, 49.50, 48.00, 48.75, 18800
01/28/25, 49.50, 50.00, 49.00, 49.50, 213900
01/27/25, 50.00, 50.00, 48.75, 49.75, 10500
01/24/25, 49.60, 50.00, 49.00, 49.05, 84900
01/23/25, 49.00, 50.00, 48.30, 49.60, 18100
01/22/25, 50.00, 50.00, 48.00, 49.00, 140600
01/21/25, 48.00, 49.00, 47.70, 48.10, 142700
01/20/25, 47.80, 50.00, 47.50, 48.85, 9700
01/17/25, 47.80, 48.00, 47.50, 47.65, 82800
01/16/25, 47.50, 47.80, 47.15, 47.45, 59100
01/15/25, 47.50, 47.50, 47.00, 47.25, 31600
01/14/25, 47.00, 47.50, 45.20, 47.15, 14900
01/13/25, 48.50, 48.50, 46.90, 47.35, 21400
01/10/25, 49.00, 49.00, 47.50, 48.45, 44800
01/09/25, 50.00, 50.00, 47.50, 49.10, 31100
01/08/25, 51.00, 51.00, 47.00, 49.25, 405400
01/07/25, 50.25, 50.75, 47.55, 49.95, 202300
01/06/25, 50.50, 50.50, 46.00, 49.20, 41200
01/03/25, 49.90, 51.50, 49.75, 50.75, 22900
01/02/25, 48.50, 51.50, 48.50, 51.00, 16600
12/31/24, 47.00, 49.90, 47.00, 48.20, 10700
12/30/24, 47.50, 48.00, 46.80, 47.50, 6400
12/27/24, 48.00, 48.00, 47.50, 47.95, 22400
12/24/24, 46.90, 47.95, 46.70, 47.40, 9100
12/23/24, 45.60, 47.00, 45.60, 46.85, 10700
12/20/24, 48.00, 48.00, 45.60, 46.90, 96400
12/19/24, 47.50, 47.50, 46.50, 46.50, 33900
